Model,Website,Title,Price (TL),URL
Paygo SP630,https://www.trendyol.com,paygo SP630 PRO 4G Yeni Nesil Yazarkasapos Ücretsiz Sim Kart - Hediyeli Ürün,5500.0,https://www.trendyol.com/sr?q=Paygo%20SP630&qt=Paygo%20SP630&st=Paygo%20SP630
Hugin Tiger T300,https://www.trendyol.com,HUGIN Tiger T300 4g Bağlantılı Yeni Nesil Yazar Kasa Pos Cihazı,5500.0,https://www.trendyol.com/sr?q=Hugin%20Tiger%20T300&qt=Hugin%20Tiger%20T300&st=Hugin%20Tiger%20T300
Hugin Tiger T300,https://www.trendyol.com,HUGIN None Pos - 4g Özellikli,5500.0,https://www.trendyol.com/sr?q=Hugin%20Tiger%20T300&qt=Hugin%20Tiger%20T300&st=Hugin%20Tiger%20T300
Hugin Tiger T300,https://www.trendyol.com,HUGIN None POS,5525.0,https://www.trendyol.com/sr?q=Hugin%20Tiger%20T300&qt=Hugin%20Tiger%20T300&st=Hugin%20Tiger%20T300
Hugin Tiger T300,https://www.trendyol.com,HUGIN Tıger T300 Dokunmatik Seyyar Yazarkasa Pos 2g,5500.0,https://www.trendyol.com/sr?q=Hugin%20Tiger%20T300&qt=Hugin%20Tiger%20T300&st=Hugin%20Tiger%20T300
Ingenico Move 5000F,https://www.trendyol.com,ingenico None Kasa Pos  +  Ingenico Ide 280 Yenilenmiş,19898.0,https://www.trendyol.com/sr?q=Ingenico%20Move%205000F&qt=Ingenico%20Move%205000F&st=Ingenico%20Move%205000F
Ingenico Move 5000F,https://www.trendyol.com,ingenico Move 5000f Mobil Yazarkasa Pos,10799.0,https://www.trendyol.com/sr?q=Ingenico%20Move%205000F&qt=Ingenico%20Move%205000F&st=Ingenico%20Move%205000F
Ingenico Move 5000F,https://www.trendyol.com,ingenico Move 5000f Temassız Özellikli Mobil Yazarkasa Pos,10554.0,https://www.trendyol.com/sr?q=Ingenico%20Move%205000F&qt=Ingenico%20Move%205000F&st=Ingenico%20Move%205000F
Ingenico Move 5000F,https://www.trendyol.com,ingenico None /5000 F Yazar Kasa Pos (TEMASSIZ & QR ÖZELLİKLİ),10699.0,https://www.trendyol.com/sr?q=Ingenico%20Move%205000F&qt=Ingenico%20Move%205000F&st=Ingenico%20Move%205000F
Ingenico Move 5000F,https://www.trendyol.com,"ingenico None Kasa Pos, Temassız Özellikli",10799.0,https://www.trendyol.com/sr?q=Ingenico%20Move%205000F&qt=Ingenico%20Move%205000F&st=Ingenico%20Move%205000F
Ingenico Move 5000F,https://www.trendyol.com,ingenico None Ingenico Move / 5000 F Yazarkasa Pos,10699.0,https://www.trendyol.com/sr?q=Ingenico%20Move%205000F&qt=Ingenico%20Move%205000F&st=Ingenico%20Move%205000F
Ingenico Move 5000F,https://www.trendyol.com,ingenico None KASA POS,10799.0,https://www.trendyol.com/sr?q=Ingenico%20Move%205000F&qt=Ingenico%20Move%205000F&st=Ingenico%20Move%205000F
Ingenico Move 5000F,https://www.trendyol.com,ingenico None Kasa Pos (temassız Ödeme Özellikli),10799.0,https://www.trendyol.com/sr?q=Ingenico%20Move%205000F&qt=Ingenico%20Move%205000F&st=Ingenico%20Move%205000F
Ingenico IDE280,https://www.trendyol.com,ingenico Ide 280 Yeni Nesil Yazarkasa Pos Yenilenmiş,9899.0,https://www.trendyol.com/sr?q=Ingenico%20IDE280&qt=Ingenico%20IDE280&st=Ingenico%20IDE280
Ingenico IDE280,https://www.trendyol.com,ingenico None Kasa Pos  +  Ingenico Ide 280 Yenilenmiş,19898.0,https://www.trendyol.com/sr?q=Ingenico%20IDE280&qt=Ingenico%20IDE280&st=Ingenico%20IDE280
Ingenico IDE280,https://www.trendyol.com,ingenico None Pos Temassız Ödeme Özellikli,24950.0,https://www.trendyol.com/sr?q=Ingenico%20IDE280&qt=Ingenico%20IDE280&st=Ingenico%20IDE280
